timestamp_sec,model_name,phase,frequency_mhz,power_w,junction_temp_c
1.11,Qwen-1.8B,0,2400,4.642,30.073
1.12,Qwen-1.8B,0,2400,4.417,30.078
1.13,Qwen-1.8B,0,2400,4.531,30.079
1.14,Qwen-1.8B,0,2400,4.575,30.076
1.15,Qwen-1.8B,0,2400,4.49,30.079
1.16,Qwen-1.8B,0,2400,4.455,30.08
1.17,Qwen-1.8B,0,2400,4.394,30.081
1.18,Qwen-1.8B,0,2400,4.587,30.079
1.19,Qwen-1.8B,0,2400,4.532,30.078
1.2,Qwen-1.8B,0,2400,4.415,30.076
1.21,Qwen-1.8B,0,2400,4.524,30.079
1.22,Qwen-1.8B,0,2400,4.553,30.081
1.23,Qwen-1.8B,0,2400,4.379,30.081
1.24,Qwen-1.8B,0,2400,4.415,30.083
1.25,Qwen-1.8B,0,2400,4.73,30.087
1.26,Qwen-1.8B,0,2400,4.412,30.088
1.27,Qwen-1.8B,0,2400,4.479,30.088
1.28,Qwen-1.8B,0,2400,4.527,30.094
1.29,Qwen-1.8B,0,2400,4.277,30.091
1.3,Qwen-1.8B,0,2400,4.515,30.093
1.31,Qwen-1.8B,0,2400,4.558,30.093
1.32,Qwen-1.8B,0,2400,4.469,30.094
1.33,Qwen-1.8B,0,2400,4.345,30.095
1.34,Qwen-1.8B,0,2400,4.433,30.094
1.35,Qwen-1.8B,0,2400,4.399,30.095
1.36,Qwen-1.8B,0,2400,4.404,30.095
1.37,Qwen-1.8B,0,2400,4.632,30.096
1.38,Qwen-1.8B,0,2400,4.466,30.094
1.39,Qwen-1.8B,0,2400,4.553,30.097
1.4,Qwen-1.8B,0,2400,4.61,30.096
1.41,Qwen-1.8B,0,2400,4.538,30.098
1.42,Qwen-1.8B,0,2400,4.474,30.101
1.43,Qwen-1.8B,0,2400,4.58,30.104
1.44,Qwen-1.8B,0,2400,4.462,30.106
1.45,Qwen-1.8B,0,2400,4.518,30.106
1.46,Qwen-1.8B,0,2400,4.545,30.105
1.47,Qwen-1.8B,0,2400,4.523,30.108
1.48,Qwen-1.8B,0,2400,4.519,30.109
1.49,Qwen-1.8B,0,2400,4.475,30.111
1.5,Qwen-1.8B,0,2400,4.458,30.111
1.51,Qwen-1.8B,0,2400,4.406,30.111
1.52,Qwen-1.8B,0,2400,4.6,30.113
1.53,Qwen-1.8B,0,2400,4.377,30.112
1.54,Qwen-1.8B,0,2400,4.45,30.11
1.55,Qwen-1.8B,0,2400,4.381,30.11
1.56,Qwen-1.8B,0,2400,4.489,30.111
1.57,Qwen-1.8B,0,2400,4.588,30.114
1.58,Qwen-1.8B,0,2400,4.491,30.114
1.59,Qwen-1.8B,0,2400,4.758,30.115
1.6,Qwen-1.8B,0,2400,4.449,30.114
1.61,Qwen-1.8B,0,2400,4.354,30.116
1.62,Qwen-1.8B,0,2400,4.584,30.114
1.63,Qwen-1.8B,0,2400,4.513,30.116
1.64,Qwen-1.8B,0,2400,4.562,30.117
1.65,Qwen-1.8B,0,2400,4.605,30.117
1.66,Qwen-1.8B,0,2400,4.566,30.116
1.67,Qwen-1.8B,0,2400,4.618,30.118
1.68,Qwen-1.8B,0,2400,4.532,30.123
1.69,Qwen-1.8B,0,2400,4.541,30.125
1.7,Qwen-1.8B,0,2400,4.344,30.125
1.71,Qwen-1.8B,0,2400,4.556,30.126
1.72,Qwen-1.8B,0,2400,4.432,30.126
1.73,Qwen-1.8B,0,2400,4.476,30.125
1.74,Qwen-1.8B,0,2400,4.402,30.129
1.75,Qwen-1.8B,0,2400,4.508,30.129
1.76,Qwen-1.8B,0,2400,4.604,30.131
1.77,Qwen-1.8B,0,2400,4.544,30.13
1.78,Qwen-1.8B,0,2400,4.482,30.126
1.79,Qwen-1.8B,0,2400,4.32,30.124
1.8,Qwen-1.8B,0,2400,4.503,30.126
1.81,Qwen-1.8B,0,2400,4.375,30.124
1.82,Qwen-1.8B,0,2400,4.471,30.123
1.83,Qwen-1.8B,0,2400,4.456,30.123
1.84,Qwen-1.8B,0,2400,4.662,30.121
1.85,Qwen-1.8B,0,2400,4.482,30.123
1.86,Qwen-1.8B,0,2400,4.575,30.125
1.87,Qwen-1.8B,0,2400,4.464,30.129
1.88,Qwen-1.8B,0,2400,4.467,30.128
1.89,Qwen-1.8B,0,2400,4.464,30.126
1.9,Qwen-1.8B,0,2400,4.578,30.125
1.91,Qwen-1.8B,0,2400,4.633,30.126
1.92,Qwen-1.8B,0,2400,4.408,30.128
1.93,Qwen-1.8B,0,2400,4.521,30.128
1.94,Qwen-1.8B,0,2400,4.539,30.131
1.95,Qwen-1.8B,0,2400,4.522,30.134
1.96,Qwen-1.8B,0,2400,4.579,30.136
1.97,Qwen-1.8B,0,2400,4.763,30.138
1.98,Qwen-1.8B,0,2400,4.486,30.137
1.99,Qwen-1.8B,0,2400,4.399,30.137
2.0,Qwen-1.8B,0,2400,4.577,30.136
2.01,Qwen-1.8B,0,2400,4.531,30.137
2.02,Qwen-1.8B,0,2400,4.389,30.14
2.03,Qwen-1.8B,0,2400,4.604,30.139
2.04,Qwen-1.8B,0,2400,4.539,30.144
2.05,Qwen-1.8B,0,2400,4.492,30.144
2.06,Qwen-1.8B,0,2400,4.417,30.142
2.07,Qwen-1.8B,0,2400,4.584,30.141
2.08,Qwen-1.8B,0,2400,4.539,30.139
2.09,Qwen-1.8B,0,2400,4.446,30.136
2.1,Qwen-1.8B,0,2400,4.393,30.136
2.11,Qwen-1.8B,0,2400,4.537,30.131
2.12,Qwen-1.8B,0,2400,4.381,30.132
2.13,Qwen-1.8B,0,2400,4.511,30.133
2.14,Qwen-1.8B,0,2400,4.546,30.134
2.15,Qwen-1.8B,0,2400,4.45,30.133
2.16,Qwen-1.8B,0,2400,4.44,30.136
2.17,Qwen-1.8B,0,2400,4.549,30.134
2.18,Qwen-1.8B,0,2400,4.492,30.136
2.19,Qwen-1.8B,0,2400,4.545,30.138
2.2,Qwen-1.8B,0,2400,4.424,30.138
2.21,Qwen-1.8B,0,2400,4.484,30.137
2.22,Qwen-1.8B,0,2400,4.539,30.138
2.23,Qwen-1.8B,0,2400,4.624,30.141
2.24,Qwen-1.8B,0,2400,4.432,30.144
2.25,Qwen-1.8B,0,2400,4.669,30.145
2.26,Qwen-1.8B,0,2400,4.414,30.147
2.27,Qwen-1.8B,0,2400,4.551,30.149
2.28,Qwen-1.8B,0,2400,4.455,30.148
2.29,Qwen-1.8B,0,2400,4.494,30.148
2.3,Qwen-1.8B,0,2400,4.477,30.148
2.31,Qwen-1.8B,0,2400,4.467,30.151
2.32,Qwen-1.8B,0,2400,4.429,30.154
2.33,Qwen-1.8B,0,2400,4.51,30.157
2.34,Qwen-1.8B,0,2400,4.509,30.158
2.35,Qwen-1.8B,0,2400,4.545,30.16
2.36,Qwen-1.8B,0,2400,4.43,30.164
2.37,Qwen-1.8B,0,2400,4.464,30.166
2.38,Qwen-1.8B,0,2400,4.511,30.167
2.39,Qwen-1.8B,0,2400,4.504,30.167
2.4,Qwen-1.8B,0,2400,4.472,30.166
2.41,Qwen-1.8B,0,2400,4.447,30.168
2.42,Qwen-1.8B,0,2400,4.565,30.17
2.43,Qwen-1.8B,0,2400,4.454,30.171
2.44,Qwen-1.8B,0,2400,4.56,30.171
2.45,Qwen-1.8B,0,2400,4.602,30.169
2.46,Qwen-1.8B,0,2400,4.425,30.164
2.47,Qwen-1.8B,0,2400,4.428,30.165
2.48,Qwen-1.8B,0,2400,4.505,30.169
2.49,Qwen-1.8B,0,2400,4.43,30.173
2.5,Qwen-1.8B,0,2400,4.507,30.175
2.51,Qwen-1.8B,0,2400,4.394,30.176
2.52,Qwen-1.8B,0,2400,4.576,30.175
2.53,Qwen-1.8B,0,2400,4.384,30.176
2.54,Qwen-1.8B,0,2400,4.451,30.18
2.55,Qwen-1.8B,0,2400,4.588,30.18
2.56,Qwen-1.8B,0,2400,4.462,30.18
2.57,Qwen-1.8B,0,2400,4.354,30.178
2.58,Qwen-1.8B,0,2400,4.543,30.179
2.59,Qwen-1.8B,0,2400,4.547,30.181
2.6,Qwen-1.8B,0,2400,4.443,30.182
2.61,Qwen-1.8B,0,2400,4.482,30.185
2.62,Qwen-1.8B,0,2400,4.572,30.185
2.63,Qwen-1.8B,0,2400,4.395,30.185
2.64,Qwen-1.8B,0,2400,4.633,30.185
2.65,Qwen-1.8B,0,2400,4.444,30.184
2.66,Qwen-1.8B,0,2400,4.47,30.184
2.67,Qwen-1.8B,0,2400,4.643,30.182
2.68,Qwen-1.8B,0,2400,4.433,30.181
2.69,Qwen-1.8B,0,2400,4.382,30.179
2.7,Qwen-1.8B,0,2400,4.321,30.181
2.71,Qwen-1.8B,0,2400,4.532,30.182
2.72,Qwen-1.8B,0,2400,4.517,30.186
2.73,Qwen-1.8B,0,2400,4.389,30.19
2.74,Qwen-1.8B,0,2400,4.434,30.19
2.75,Qwen-1.8B,0,2400,4.473,30.189
2.76,Qwen-1.8B,0,2400,4.523,30.191
2.77,Qwen-1.8B,0,2400,4.366,30.193
2.78,Qwen-1.8B,0,2400,4.501,30.195
2.79,Qwen-1.8B,0,2400,4.581,30.196
2.8,Qwen-1.8B,0,2400,4.424,30.197
2.81,Qwen-1.8B,0,2400,4.374,30.198
2.82,Qwen-1.8B,0,2400,4.563,30.196
2.83,Qwen-1.8B,0,2400,4.435,30.198
2.84,Qwen-1.8B,0,2400,4.43,30.197
2.85,Qwen-1.8B,0,2400,4.451,30.197
2.86,Qwen-1.8B,0,2400,4.559,30.193
2.87,Qwen-1.8B,0,2400,4.633,30.198
2.88,Qwen-1.8B,0,2400,4.437,30.194
2.89,Qwen-1.8B,0,2400,4.431,30.193
2.9,Qwen-1.8B,0,2400,4.616,30.187
2.91,Qwen-1.8B,0,2400,4.395,30.187
2.92,Qwen-1.8B,0,2400,4.453,30.188
2.93,Qwen-1.8B,0,2400,4.443,30.186
2.94,Qwen-1.8B,0,2400,4.544,30.185
2.95,Qwen-1.8B,0,2400,4.429,30.184
2.96,Qwen-1.8B,0,2400,4.757,30.182
2.97,Qwen-1.8B,0,2400,4.535,30.181
2.98,Qwen-1.8B,0,2400,4.459,30.184
2.99,Qwen-1.8B,0,2400,4.541,30.182
3.0,Qwen-1.8B,0,2400,4.587,30.186
3.01,Qwen-1.8B,0,2400,4.412,30.185
3.02,Qwen-1.8B,0,2400,4.437,30.181
3.03,Qwen-1.8B,0,2400,4.741,30.184
3.04,Qwen-1.8B,0,2400,4.424,30.187
3.05,Qwen-1.8B,0,2400,4.549,30.187
3.06,Qwen-1.8B,0,2400,4.553,30.186
3.07,Qwen-1.8B,0,2400,4.443,30.186
3.08,Qwen-1.8B,0,2400,4.603,30.186
3.09,Qwen-1.8B,0,2400,4.434,30.187
3.1,Qwen-1.8B,0,2400,4.565,30.187
3.11,Qwen-1.8B,0,2400,4.508,30.184
3.12,Qwen-1.8B,0,2400,4.325,30.185
3.13,Qwen-1.8B,0,2400,4.384,30.182
3.14,Qwen-1.8B,0,2400,4.54,30.183
3.15,Qwen-1.8B,0,2400,4.507,30.185
3.16,Qwen-1.8B,0,2400,4.564,30.187
3.17,Qwen-1.8B,0,2400,4.462,30.189
3.18,Qwen-1.8B,0,2400,4.446,30.189
3.19,Qwen-1.8B,0,2400,4.575,30.19
3.2,Qwen-1.8B,0,2400,4.371,30.192
3.21,Qwen-1.8B,0,2400,4.498,30.191
3.22,Qwen-1.8B,0,2400,4.486,30.192
3.23,Qwen-1.8B,0,2400,4.449,30.194
3.24,Qwen-1.8B,0,2400,4.473,30.196
3.25,Qwen-1.8B,0,2400,4.635,30.197
3.26,Qwen-1.8B,0,2400,4.674,30.195
3.27,Qwen-1.8B,0,2400,4.487,30.193
3.28,Qwen-1.8B,0,2400,4.606,30.191
3.29,Qwen-1.8B,0,2400,4.428,30.19
3.3,Qwen-1.8B,0,2400,4.51,30.188
3.31,Qwen-1.8B,0,2400,4.494,30.19
3.32,Qwen-1.8B,0,2400,4.476,30.188
3.33,Qwen-1.8B,0,2400,4.589,30.19
3.34,Qwen-1.8B,0,2400,4.45,30.193
3.35,Qwen-1.8B,0,2400,4.453,30.198
3.36,Qwen-1.8B,0,2400,4.516,30.195
3.37,Qwen-1.8B,0,2400,4.381,30.195
3.38,Qwen-1.8B,0,2400,4.583,30.194
3.39,Qwen-1.8B,0,2400,4.46,30.196
3.4,Qwen-1.8B,0,2400,4.625,30.198
3.41,Qwen-1.8B,0,2400,4.5,30.201
3.42,Qwen-1.8B,0,2400,4.601,30.201
3.43,Qwen-1.8B,0,2400,4.419,30.2
3.44,Qwen-1.8B,0,2400,4.384,30.201
3.45,Qwen-1.8B,0,2400,4.496,30.206
3.46,Qwen-1.8B,0,2400,4.545,30.207
3.47,Qwen-1.8B,0,2400,4.582,30.208
3.48,Qwen-1.8B,0,2400,4.476,30.209
3.49,Qwen-1.8B,0,2400,4.441,30.213
3.5,Qwen-1.8B,0,2400,4.516,30.214
3.51,Qwen-1.8B,0,2400,4.539,30.211
3.52,Qwen-1.8B,0,2400,4.621,30.214
3.53,Qwen-1.8B,0,2400,4.507,30.215
3.54,Qwen-1.8B,0,2400,4.413,30.217
3.55,Qwen-1.8B,0,2400,4.519,30.219
3.56,Qwen-1.8B,0,2400,4.528,30.22
3.57,Qwen-1.8B,0,2400,4.444,30.218
3.58,Qwen-1.8B,0,2400,4.521,30.217
3.59,Qwen-1.8B,0,2400,4.617,30.221
3.6,Qwen-1.8B,0,2400,4.44,30.22
3.61,Qwen-1.8B,0,2400,4.47,30.223
3.62,Qwen-1.8B,0,2400,4.348,30.219
3.63,Qwen-1.8B,0,2400,4.629,30.218
3.64,Qwen-1.8B,0,2400,4.628,30.217
3.65,Qwen-1.8B,0,2400,4.479,30.217
3.66,Qwen-1.8B,0,2400,4.427,30.218
3.67,Qwen-1.8B,0,2400,4.483,30.219
3.68,Qwen-1.8B,0,2400,4.408,30.218
3.69,Qwen-1.8B,0,2400,4.449,30.221
3.7,Qwen-1.8B,0,2400,4.467,30.221
3.71,Qwen-1.8B,0,2400,4.541,30.22
3.72,Qwen-1.8B,0,2400,4.53,30.22
3.73,Qwen-1.8B,0,2400,4.427,30.22
3.74,Qwen-1.8B,0,2400,4.479,30.222
3.75,Qwen-1.8B,0,2400,4.41,30.221
3.76,Qwen-1.8B,0,2400,4.539,30.224
3.77,Qwen-1.8B,0,2400,4.443,30.224
3.78,Qwen-1.8B,0,2400,4.463,30.225
3.79,Qwen-1.8B,0,2400,4.575,30.225
3.8,Qwen-1.8B,0,2400,4.505,30.224
3.81,Qwen-1.8B,0,2400,4.437,30.226
3.82,Qwen-1.8B,0,2400,4.493,30.23
3.83,Qwen-1.8B,0,2400,4.424,30.23
3.84,Qwen-1.8B,0,2400,4.437,30.23
3.85,Qwen-1.8B,0,2400,4.558,30.234
3.86,Qwen-1.8B,0,2400,4.332,30.237
3.87,Qwen-1.8B,0,2400,4.655,30.235
3.88,Qwen-1.8B,0,2400,4.473,30.231
3.89,Qwen-1.8B,0,2400,4.546,30.232
3.9,Qwen-1.8B,0,2400,4.429,30.234
3.91,Qwen-1.8B,0,2400,4.619,30.236
3.92,Qwen-1.8B,0,2400,4.542,30.236
3.93,Qwen-1.8B,0,2400,4.507,30.237
3.94,Qwen-1.8B,0,2400,4.427,30.236
3.95,Qwen-1.8B,0,2400,4.443,30.241
3.96,Qwen-1.8B,0,2400,4.363,30.243
3.97,Qwen-1.8B,0,2400,4.467,30.242
3.98,Qwen-1.8B,0,2400,4.58,30.243
3.99,Qwen-1.8B,0,2400,4.472,30.243
4.0,Qwen-1.8B,0,2400,4.491,30.248
4.01,Qwen-1.8B,0,2400,4.558,30.25
4.02,Qwen-1.8B,0,2400,4.454,30.25
4.03,Qwen-1.8B,0,2400,4.436,30.252
4.04,Qwen-1.8B,0,2400,4.548,30.253
4.05,Qwen-1.8B,0,2400,4.578,30.254
4.06,Qwen-1.8B,0,2400,4.567,30.252
4.07,Qwen-1.8B,0,2400,4.581,30.25
4.08,Qwen-1.8B,0,2400,4.523,30.246
4.09,Qwen-1.8B,0,2400,4.627,30.247
4.1,Qwen-1.8B,0,2400,4.395,30.246
4.11,Qwen-1.8B,0,2400,4.549,30.245
4.12,Qwen-1.8B,0,2400,4.465,30.246
4.13,Qwen-1.8B,0,2400,4.45,30.247
4.14,Qwen-1.8B,0,2400,4.397,30.248
4.15,Qwen-1.8B,0,2400,4.645,30.251
4.16,Qwen-1.8B,0,2400,4.454,30.25
4.17,Qwen-1.8B,0,2400,4.353,30.25
4.18,Qwen-1.8B,0,2400,4.552,30.249
4.19,Qwen-1.8B,0,2400,4.477,30.251
4.2,Qwen-1.8B,0,2400,4.436,30.25
4.21,Qwen-1.8B,0,2400,4.41,30.252
4.22,Qwen-1.8B,0,2400,4.624,30.249
4.23,Qwen-1.8B,0,2400,4.538,30.251
4.24,Qwen-1.8B,0,2400,4.479,30.251
4.25,Qwen-1.8B,0,2400,4.549,30.247
4.26,Qwen-1.8B,0,2400,4.59,30.247
4.27,Qwen-1.8B,0,2400,4.598,30.247
4.28,Qwen-1.8B,0,2400,4.466,30.248
4.29,Qwen-1.8B,0,2400,4.494,30.251
4.3,Qwen-1.8B,0,2400,4.526,30.251
4.31,Qwen-1.8B,0,2400,4.565,30.249
4.32,Qwen-1.8B,0,2400,4.492,30.248
4.33,Qwen-1.8B,0,2400,4.602,30.247
4.34,Qwen-1.8B,0,2400,4.786,30.247
4.35,Qwen-1.8B,0,2400,4.443,30.247
4.36,Qwen-1.8B,0,2400,4.475,30.249
4.37,Qwen-1.8B,0,2400,4.602,30.25
4.38,Qwen-1.8B,0,2400,4.764,30.251
4.39,Qwen-1.8B,0,2400,4.426,30.254
4.4,Qwen-1.8B,0,2400,4.516,30.253
4.41,Qwen-1.8B,0,2400,4.539,30.256
4.42,Qwen-1.8B,0,2400,4.476,30.257
4.43,Qwen-1.8B,0,2400,4.352,30.257
4.44,Qwen-1.8B,0,2400,4.528,30.256
4.45,Qwen-1.8B,0,2400,4.49,30.258
4.46,Qwen-1.8B,0,2400,4.581,30.26
4.47,Qwen-1.8B,0,2400,4.391,30.259
4.48,Qwen-1.8B,0,2400,4.407,30.255
4.49,Qwen-1.8B,0,2400,4.461,30.256
4.5,Qwen-1.8B,0,2400,4.412,30.257
4.51,Qwen-1.8B,0,2400,4.465,30.257
4.52,Qwen-1.8B,0,2400,4.597,30.258
4.53,Qwen-1.8B,0,2400,4.509,30.262
4.54,Qwen-1.8B,0,2400,4.343,30.265
4.55,Qwen-1.8B,0,2400,4.467,30.267
4.56,Qwen-1.8B,0,2400,4.424,30.266
4.57,Qwen-1.8B,0,2400,4.527,30.265
4.58,Qwen-1.8B,0,2400,4.555,30.269
4.59,Qwen-1.8B,0,2400,4.661,30.27
4.6,Qwen-1.8B,0,2400,4.613,30.271
4.61,Qwen-1.8B,0,2400,4.629,30.273
4.62,Qwen-1.8B,0,2400,4.392,30.277
4.63,Qwen-1.8B,0,2400,4.502,30.279
4.64,Qwen-1.8B,0,2400,4.523,30.282
4.65,Qwen-1.8B,0,2400,4.475,30.283
4.66,Qwen-1.8B,0,2400,4.459,30.282
4.67,Qwen-1.8B,0,2400,4.488,30.281
4.68,Qwen-1.8B,0,2400,4.562,30.282
4.69,Qwen-1.8B,0,2400,4.417,30.283
4.7,Qwen-1.8B,0,2400,4.413,30.284
4.71,Qwen-1.8B,0,2400,4.557,30.285
4.72,Qwen-1.8B,0,2400,4.484,30.285
4.73,Qwen-1.8B,0,2400,4.519,30.288
4.74,Qwen-1.8B,0,2400,4.495,30.285
4.75,Qwen-1.8B,0,2400,4.494,30.281
4.76,Qwen-1.8B,0,2400,4.419,30.282
4.77,Qwen-1.8B,0,2400,4.469,30.282
4.78,Qwen-1.8B,0,2400,4.668,30.285
4.79,Qwen-1.8B,0,2400,4.46,30.287
4.8,Qwen-1.8B,0,2400,4.405,30.287
4.81,Qwen-1.8B,0,2400,4.431,30.283
4.82,Qwen-1.8B,0,2400,4.568,30.282
4.83,Qwen-1.8B,0,2400,4.562,30.284
4.84,Qwen-1.8B,0,2400,4.503,30.286
4.85,Qwen-1.8B,0,2400,4.493,30.288
4.86,Qwen-1.8B,0,2400,4.52,30.287
4.87,Qwen-1.8B,0,2400,4.527,30.283
4.88,Qwen-1.8B,0,2400,4.526,30.284
4.89,Qwen-1.8B,0,2400,4.473,30.285
4.9,Qwen-1.8B,0,2400,4.503,30.284
4.91,Qwen-1.8B,0,2400,4.434,30.281
4.92,Qwen-1.8B,0,2400,4.602,30.283
4.93,Qwen-1.8B,0,2400,4.484,30.282
4.94,Qwen-1.8B,0,2400,4.498,30.28
4.95,Qwen-1.8B,0,2400,4.454,30.281
4.96,Qwen-1.8B,0,2400,4.549,30.28
4.97,Qwen-1.8B,0,2400,4.518,30.28
4.98,Qwen-1.8B,0,2400,4.491,30.281
4.99,Qwen-1.8B,0,2400,4.442,30.283
5.0,Qwen-1.8B,0,2400,4.596,30.281
5.01,Qwen-1.8B,0,2400,4.555,30.284
5.02,Qwen-1.8B,0,2400,4.44,30.287
5.03,Qwen-1.8B,0,2400,4.431,30.289
5.04,Qwen-1.8B,0,2400,4.547,30.293
5.05,Qwen-1.8B,0,2400,4.623,30.292
5.06,Qwen-1.8B,0,2400,4.608,30.289
5.07,Qwen-1.8B,0,2400,4.468,30.29
5.08,Qwen-1.8B,0,2400,4.607,30.292
5.09,Qwen-1.8B,0,2400,4.632,30.295
5.1,Qwen-1.8B,0,2400,4.451,30.293
5.11,Qwen-1.8B,0,2400,4.427,30.293
5.12,Qwen-1.8B,0,2400,4.434,30.295
5.13,Qwen-1.8B,0,2400,4.433,30.297
5.14,Qwen-1.8B,0,2400,4.536,30.296
